second,heart_rate,eda,temp,stress_score
0,77.77777777777777,5.244941166469029,30.123644,0.6945155595832488
1,77.80569697421956,5.46869877406529,30.104593,0.71372493338218
2,80.96040667606484,6.266257694789341,30.093264,0.7960575536263117
3,71.52258447115346,6.408623831612723,30.08727,0.7653747873804206
4,66.85323953185889,6.200110299246652,30.08861,0.7264049828839874
5,66.50894473247467,5.996228899274554,30.086409,0.7074551534094273
6,66.53901739788964,5.789156777518136,30.084911,0.6899319040039251
7,74.41806257901389,5.722593035016741,30.085642,0.720006358369676
8,75.57207839390048,5.780745370047433,30.088432,0.7302021079244401
9,75.36915747920932,5.7565476553780695,30.09188,0.727217702921131
10,68.96127582137139,5.658435821533203,30.09341,0.6897746540255331
11,66.17796036854438,5.589807237897601,30.085968,0.6712925058836664
12,61.39473657356858,5.542999812534878,30.05863,0.6455967360363194
13,65.64896141831312,5.5139923095703125,30.040653,0.6624264564249902
14,66.83665252911086,5.5031602042061945,30.036278,0.6668918169122018
15,69.07370470654831,5.449082510811942,30.021833,0.6724305499836314
16,78.88176104152069,5.411385127476284,30.014174,0.7137197065766527
17,81.23791102514507,5.355950491768973,30.00646,0.7196831225215102
18,84.05314166103652,5.289057050432477,29.99183,0.7267523790892794
19,81.54142051393303,5.275704520089286,29.980452,0.7142166915804607
20,79.18063858726588,5.236350468226841,29.961437,0.7001484071235025
21,80.19530125630625,5.213111877441406,29.949919,0.7027705896687415
22,71.46768628806309,5.205847603934152,29.937416,0.6625494813857905
23,64.97970332092612,5.178615025111607,29.927717,0.6307877585478057
24,63.62323470506475,5.202802385602679,29.924402,0.6266955438591495
25,64.3489019216756,5.257404327392578,29.917294,0.6346448721038209
26,68.39413732936396,5.377393450055804,29.913303,0.6632331614603066
27,72.13259997623804,5.594722747802734,29.90693,0.6987309173252746
28,71.47217304468175,5.580802917480469,29.90617,0.6945471042610859
29,70.19340650518744,5.50724846976144,29.899715,0.6824717614299112
30,66.28885058739925,5.456354413713727,29.897285,0.6604144312478779
31,66.97023213226713,5.396404266357422,29.891523,0.6583934824656641
32,69.97375308232633,5.380672454833984,29.887808,0.6706803176177997
33,67.96503332321267,5.342371259416852,29.881111,0.6582993073668012
34,71.08616691440658,5.3364394051688055,29.868364,0.6719555788351688
35,72.89068744205247,5.370203835623605,29.864922,0.6830231258772237
36,74.45126436666047,5.758530752999442,29.877829,0.7232218832519197
37,74.1139724154407,5.910834176199777,29.880575,0.734680292191618
38,78.0506527055962,5.836539132254464,29.854542,0.7462069014653251
39,78.26252806192895,5.728493281773159,29.83487,0.7379538268856787
40,85.09027602312396,5.655843462262835,29.820187,0.7627389775268343
41,86.31911047713771,5.602008819580078,29.79456,0.7637236464317868
42,89.1929698510175,5.573833465576172,29.77386,0.7743609206475577
43,87.2949662497847,5.579157148088727,29.750568,0.7662027401055849
44,86.30533713456649,5.648012978690011,29.690382,0.7675845164214263
45,86.53617273164191,5.623560769217355,29.607656,0.7665465793971407
46,52.55558889236449,5.573085239955357,29.53705,0.6080548371746143
47,89.66030426782821,5.521612984793527,29.503702,0.7720279402348196
48,85.02021111174277,5.463544028145926,29.475714,0.7460212105963743
49,80.96931463753651,5.435575212751116,29.441128,0.7252549897676258
50,80.19892172923818,5.407544272286551,29.4127,0.7193687696822837
51,81.21677672578615,5.374912806919643,29.39178,0.7212043861519997
52,85.19590154946948,5.346209389822824,29.373281,0.736811772334304
53,86.6629778100526,5.333478655133929,29.352299,0.7423829235799431
54,84.44062984080504,5.315495082310268,29.334743,0.730765319521403
55,82.22869713755088,5.3055621555873325,29.321016,0.7198815569588112
56,79.08712001405729,5.28216062273298,29.316586,0.7036308875195291
57,77.64355060524777,5.254283905029297,29.31097,0.6947032787459508
58,76.78317835688276,5.233493259974888,29.299671,0.6890262501722852
59,78.15809472635864,5.219867706298828,29.282171,0.6941029127894189
60,70.49294028031036,5.198021480015346,29.27011,0.657459132924064
61,74.54951298701299,5.19932610648019,29.25902,0.6759771111994427
62,70.77082096571407,5.195681435721261,29.252344,0.6585204520347391
63,74.76994283571955,5.20386723109654,29.25118,0.6773645927072529
64,75.78197738408878,5.222894396100726,29.250217,0.6835793949803497
65,78.06903143052881,5.290993281773159,29.250631,0.6997645807092437
66,72.69006820674093,5.3932070050920755,29.254179,0.6840745914859301
67,72.6032604305745,5.405788421630859,29.257769,0.6847536801060805
68,73.25113456384015,5.365711757114956,29.260424,0.684275558897732
69,79.26041053538505,5.344578334263393,29.268236,0.709740355401691
70,78.48250004809273,5.317607879638672,29.275433,0.7039104655425519
